ROI1	xywh=(123,373,1512,822)	area=664791.5	aspect=1.84	center_norm=(0.4395,0.3439)
ROI2	xywh=(123,947,139,173)	area=2169.5	aspect=1.24	center_norm=(0.0963,0.1351)
ROI3	xywh=(137,982,86,115)	area=1424.5	aspect=1.34	center_norm=(0.0900,0.1301)
ROI4	xywh=(128,1017,55,68)	area=974.0	aspect=1.24	center_norm=(0.0777,0.1205)
ROI5	xywh=(848,1057,20,41)	area=266.0	aspect=2.05	center_norm=(0.4290,0.0983)
ROI6	xywh=(632,1111,29,15)	area=142.0	aspect=1.93	center_norm=(0.3232,0.0640)
ROI7	xywh=(173,1155,30,7)	area=140.5	aspect=4.29	center_norm=(0.0940,0.0305)
ROI8	xywh=(841,853,19,16)	area=106.5	aspect=1.19	center_norm=(0.4253,0.2795)
ROI9	xywh=(839,1067,12,21)	area=106.0	aspect=1.75	center_norm=(0.4225,0.0983)
ROI10	xywh=(146,1155,21,7)	area=104.0	aspect=3.00	center_norm=(0.0783,0.0305)
ROI11	xywh=(755,1104,21,13)	area=81.5	aspect=1.62	center_norm=(0.3827,0.0707)
